scenario,step_percent,estimator,family,n_mc_runs,m1_rmse_hz_mean,m1_rmse_hz_median,m1_rmse_hz_p10,m1_rmse_hz_p90,m1_rmse_hz_std
Sweep_AmplitudeStep_1pct,1.0,RLS,Adaptive,30,0.36910101883859775,0.27029905805417803,0.08152068092523237,0.7792812769231814,0.3007376175879857
Sweep_AmplitudeStep_1pct,1.0,TKEO,Adaptive,30,8.8349500728828,8.69403083078992,7.447049443512449,10.398740235904674,1.1910705547483846
Sweep_AmplitudeStep_1pct,1.0,PLL,Loop-based,30,0.21826155695699098,0.16567866262627645,0.1614793203762417,0.31484662980746453,0.13527460634148894
Sweep_AmplitudeStep_1pct,1.0,SOGI-FLL,Loop-based,30,0.0045403232467635555,0.00455345628412535,0.00387197875661021,0.00531367221015863,0.0005569093502856562
Sweep_AmplitudeStep_1pct,1.0,SOGI-PLL,Loop-based,30,0.0165392166767677,0.01562697030087715,0.0038193539206672904,0.027306273896338242,0.011001906119154085
Sweep_AmplitudeStep_1pct,1.0,Type-3 SOGI-PLL,Loop-based,30,0.032096223880664194,0.0245299229496296,0.005557199422697521,0.064129604818147,0.02764487406367966
Sweep_AmplitudeStep_1pct,1.0,ZCD,Loop-based,30,0.013397708587268967,0.012977615883020401,0.00694999425655206,0.01925571831273622,0.004703048968350175
Sweep_AmplitudeStep_1pct,1.0,EKF,Model-based,30,0.0027960505758083632,0.00265441651593555,0.00011289559506422115,0.00559107757249198,0.002060261615048161
Sweep_AmplitudeStep_1pct,1.0,LKF,Model-based,30,0.003952414593960987,0.003944607003747,0.0038527286153878498,0.00405554508455974,7.850677617976671e-05
Sweep_AmplitudeStep_1pct,1.0,LKF2,Model-based,30,0.005405285805333464,0.0035168055975813,0.0005253151494323601,0.012448080321454402,0.004434618506191436
Sweep_AmplitudeStep_1pct,1.0,RA-EKF,Model-based,30,0.00063762367719828,0.00043344708764565,0.00040590150797073,0.0011052626173238603,0.0003845451759763293
Sweep_AmplitudeStep_1pct,1.0,UKF,Model-based,30,0.0012153326037093167,0.0010827709525384,0.00040817992906115,0.00238291849814983,0.000728381935447176
Sweep_AmplitudeStep_1pct,1.0,IPDFT,Window-based,30,0.00045443178645137,0.0004577381125313,0.00030015365395912003,0.00063317560485028,0.00013520956441320282
Sweep_AmplitudeStep_1pct,1.0,TFT,Window-based,30,0.0005990761205334167,0.0006206596155816,0.00028422400229965,0.0008600087658824701,0.00022819232255603594
Sweep_AmplitudeStep_2pct,2.0,RLS,Adaptive,30,0.3787690480642827,0.2686442106203305,0.0860634826497153,0.7534093729252835,0.29227313013415807
Sweep_AmplitudeStep_2pct,2.0,TKEO,Adaptive,30,8.858259487312809,8.68640218461253,7.455366114982113,10.453509902617272,1.2181833121271588
Sweep_AmplitudeStep_2pct,2.0,PLL,Loop-based,30,0.2182703080272458,0.16568652118730337,0.16148935563810168,0.3148519802215444,0.13527244724759016
Sweep_AmplitudeStep_2pct,2.0,SOGI-FLL,Loop-based,30,0.004567629265083224,0.0045796609440972,0.00390124292932507,0.00533547210888333,0.0005535200401323312
Sweep_AmplitudeStep_2pct,2.0,SOGI-PLL,Loop-based,30,0.016552432462772878,0.0156301081623097,0.0038783860077739305,0.027307441566770483,0.01099384298852456
Sweep_AmplitudeStep_2pct,2.0,Type-3 SOGI-PLL,Loop-based,30,0.03210260019323575,0.02453075522506355,0.005564145027228961,0.0641301449961507,0.02764066704564665
Sweep_AmplitudeStep_2pct,2.0,ZCD,Loop-based,30,0.013295165194102714,0.0128745461637133,0.00689836298932548,0.01913256246709261,0.004670405692646268
Sweep_AmplitudeStep_2pct,2.0,EKF,Model-based,30,0.0027978464133217476,0.00265414504489065,0.00012539557680430158,0.00559234878891203,0.002058148811058496
Sweep_AmplitudeStep_2pct,2.0,LKF,Model-based,30,0.00395380244862288,0.00394610968619135,0.0038547837887787702,0.00405555153285651,7.799072982447043e-05
Sweep_AmplitudeStep_2pct,2.0,LKF2,Model-based,30,0.005418787409373236,0.00352031345267175,0.00057083571111281,0.012450998080840861,0.004422307110902058
Sweep_AmplitudeStep_2pct,2.0,RA-EKF,Model-based,30,0.00063895759642655,0.00043405879370255,0.0004065271348681,0.0011094702387053302,0.0003848698213601994
Sweep_AmplitudeStep_2pct,2.0,UKF,Model-based,30,0.0012169064794897665,0.00108312076379,0.00041440866357814004,0.0023829706616994703,0.0007274674108214361
Sweep_AmplitudeStep_2pct,2.0,IPDFT,Window-based,30,0.0005350252563845266,0.0005522591201243,0.00035899390914864,0.00071454453836997,0.00015000543334574079
Sweep_AmplitudeStep_2pct,2.0,TFT,Window-based,30,0.0006214110857485801,0.0006447842111589001,0.00031769818985970006,0.0008800236410982101,0.0002232075965305252
Sweep_AmplitudeStep_3pct,3.0,RLS,Adaptive,30,0.40382261406821285,0.2991949497186521,0.08645216328808619,0.9027677293006879,0.336019531888616
Sweep_AmplitudeStep_3pct,3.0,TKEO,Adaptive,30,8.85158025055639,8.69126583849636,7.49479760097185,10.426762046176155,1.2055309065053081
Sweep_AmplitudeStep_3pct,3.0,PLL,Loop-based,30,0.21827919970043702,0.1656942890242316,0.16149955522089496,0.3148575483413669,0.13527025328424425
Sweep_AmplitudeStep_3pct,3.0,SOGI-FLL,Loop-based,30,0.004598426471636005,0.00460872372119795,0.0039327168311423,0.00535917153441597,0.0005497958392146517
Sweep_AmplitudeStep_3pct,3.0,SOGI-PLL,Loop-based,30,0.016574100767250584,0.01563532100680825,0.00397575565358922,0.0273094701085235,0.010980707731288054
Sweep_AmplitudeStep_3pct,3.0,Type-3 SOGI-PLL,Loop-based,30,0.03211283162620621,0.024532040936025103,0.00557523338944555,0.06413095857935722,0.0276338989802506
Sweep_AmplitudeStep_3pct,3.0,ZCD,Loop-based,30,0.013194834217317757,0.01277371065067865,0.00684783648501169,0.01901228107959233,0.004638513151530536
Sweep_AmplitudeStep_3pct,3.0,EKF,Model-based,30,0.002800361192275877,0.00265422145607765,0.00014290365003529002,0.0055937514670040996,0.002055264970715071
Sweep_AmplitudeStep_3pct,3.0,LKF,Model-based,30,0.003956062383660943,0.0039483831020024,0.00385859679111588,0.00405558369546749,7.719473642482639e-05
Sweep_AmplitudeStep_3pct,3.0,LKF2,Model-based,30,0.00543729664785756,0.00352627236309995,0.0006370340492365601,0.01245531863234554,0.004406460076776494
Sweep_AmplitudeStep_3pct,3.0,RA-EKF,Model-based,30,0.0006406844002919433,0.0004358575245014,0.00040736534976512,0.0011139311756962202,0.00038503664529408255
Sweep_AmplitudeStep_3pct,3.0,UKF,Model-based,30,0.0012193979512933565,0.0010837458391319,0.00042348488355845005,0.00238333668615476,0.0007260607937988659
Sweep_AmplitudeStep_3pct,3.0,IPDFT,Window-based,30,0.0006393239419392766,0.0006170487332905,0.00041477023698573997,0.00085935828713324,0.0001915072676886167
Sweep_AmplitudeStep_3pct,3.0,TFT,Window-based,30,0.0006549202318515834,0.0006831762152702001,0.00036317194326762,0.00090796869368999,0.00021827345583123422
Sweep_AmplitudeStep_5pct,5.0,RLS,Adaptive,30,0.5246928772854258,0.5255580573149539,0.19309487438634043,0.8372114451046114,0.2566977939395177
Sweep_AmplitudeStep_5pct,5.0,TKEO,Adaptive,30,8.870334631121723,8.71781071309373,7.525830098543923,10.455030921250824,1.188220384122793
Sweep_AmplitudeStep_5pct,5.0,PLL,Loop-based,30,0.21829740745612244,0.16570955814839625,0.16152043674959984,0.31486933887544666,0.13526575964788384
Sweep_AmplitudeStep_5pct,5.0,SOGI-FLL,Loop-based,30,0.0046697219134526026,0.0046748075549806496,0.00401677448325864,0.00541193910364544,0.0005417855241928367
Sweep_AmplitudeStep_5pct,5.0,SOGI-PLL,Loop-based,30,0.016639917883379325,0.01565152235224955,0.00426627149845496,0.027315918158334913,0.010941853295836185
Sweep_AmplitudeStep_5pct,5.0,Type-3 SOGI-PLL,Loop-based,30,0.03214396983422267,0.0245358943565865,0.0056088312422213505,0.0641333652427738,0.027613390948545518
Sweep_AmplitudeStep_5pct,5.0,ZCD,Loop-based,30,0.013000547765428508,0.012578476317703601,0.00674996968742926,0.018779984717780043,0.004576890103700197
Sweep_AmplitudeStep_5pct,5.0,EKF,Model-based,30,0.00280691348335987,0.00265541211629135,0.00018687269439211004,0.00559695862885732,0.0020480572776804128
Sweep_AmplitudeStep_5pct,5.0,LKF,Model-based,30,0.0039630824012994795,0.00395514972336635,0.00386934935228808,0.00405571655508327,7.506724908124446e-05
Sweep_AmplitudeStep_5pct,5.0,LKF2,Model-based,30,0.005485717338648344,0.0035453866222247,0.00080894100441534,0.01246812388279265,0.004368326325435621
Sweep_AmplitudeStep_5pct,5.0,RA-EKF,Model-based,30,0.0006452337474266499,0.00044738444272355,0.00041083442605059,0.0011235888591071403,0.00038495766918220347
Sweep_AmplitudeStep_5pct,5.0,UKF,Model-based,30,0.00122700963266831,0.0010855990148042499,0.00043820989734721005,0.00238500166005515,0.0007219091314460189
Sweep_AmplitudeStep_5pct,5.0,IPDFT,Window-based,30,0.0008795336756589766,0.00093189186655965,0.0005192303169345,0.0012323862467659302,0.0003118146176555695
Sweep_AmplitudeStep_5pct,5.0,TFT,Window-based,30,0.0007441136756687534,0.0007818403486277,0.00045911663985291,0.00100470875527176,0.00022191107687877094
Sweep_AmplitudeStep_7p5pct,7.5,RLS,Adaptive,30,0.5921170784405564,0.6457349717080499,0.25665705410631406,0.8138653883738379,0.2538924403312581
Sweep_AmplitudeStep_7p5pct,7.5,TKEO,Adaptive,30,8.891309271760369,8.679293025436367,7.413906115642459,10.483500667889436,1.1910103679313384
Sweep_AmplitudeStep_7p5pct,7.5,PLL,Loop-based,30,0.21832096845074966,0.16572815918940395,0.16154741564480424,0.3148853058133746,0.13525994193193483
Sweep_AmplitudeStep_7p5pct,7.5,SOGI-FLL,Loop-based,30,0.004775068496881783,0.0047577213790167,0.00413957093270505,0.00548714562212564,0.0005321263051651345
Sweep_AmplitudeStep_7p5pct,7.5,SOGI-PLL,Loop-based,30,0.016757072122927815,0.0156815324821918,0.0047598431826908205,0.027328009109042564,0.010876442148697775
Sweep_AmplitudeStep_7p5pct,7.5,Type-3 SOGI-PLL,Loop-based,30,0.03220055444520487,0.0245429277211199,0.00566950203219484,0.0641377377505074,0.027576628608304003
