scenario,step_percent,estimator,family,run_tier,n_mc_runs,tune_trials,tune_eval_runs,n_cost_reps,base_seed,tuning_base_seed,pipeline_method_version,tuning_elapsed_s,mc_eval_elapsed_s,total_elapsed_s
Sweep_AmplitudeStep_1000pct,1000.0,EKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.7800037059932947e-05,39.62896359997103,39.629016800026875
Sweep_AmplitudeStep_1000pct,1000.0,IPDFT,Window-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.0001142999972216785,31.59650399995735,31.596637599985115
Sweep_AmplitudeStep_1000pct,1000.0,LKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.9399991035461426e-05,32.30007639998803,32.30012849997729
Sweep_AmplitudeStep_1000pct,1000.0,LKF2,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.1899992134422064e-05,31.696023600001354,31.696067599987146
Sweep_AmplitudeStep_1000pct,1000.0,PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,4.1700026486068964e-05,23.66738279996207,23.667449400003534
Sweep_AmplitudeStep_1000pct,1000.0,RA-EKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.0012798999669030309,35.79804999998305,35.799571999988984
Sweep_AmplitudeStep_1000pct,1000.0,RLS,Adaptive,fast,30,300,8,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,1.3800003216601908e-05,31.044977999998082,31.045008000000962
Sweep_AmplitudeStep_1000pct,1000.0,SOGI-FLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,4.109996370971203e-05,26.272864700003993,26.272945399978198
Sweep_AmplitudeStep_1000pct,1000.0,SOGI-PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.7800037059932947e-05,26.16967430000659,26.16973079997115
Sweep_AmplitudeStep_1000pct,1000.0,TFT,Window-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.0899984519928694e-05,39.51729210000485,39.517331600014586
Sweep_AmplitudeStep_1000pct,1000.0,TKEO,Adaptive,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,7.970002479851246e-05,26.56640879996121,26.56651759997476
Sweep_AmplitudeStep_1000pct,1000.0,Type-3 SOGI-PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,3.1800009310245514e-05,28.88562210003147,28.88568079995457
Sweep_AmplitudeStep_1000pct,1000.0,UKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.0005581000004895031,49.066124200006016,49.066736099950504
Sweep_AmplitudeStep_1000pct,1000.0,ZCD,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.000284800014924258,13.424172199971508,13.424726299999747
Sweep_AmplitudeStep_100pct,100.0,EKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.4100008886307478e-05,33.58612649998395,33.586175100004766
Sweep_AmplitudeStep_100pct,100.0,IPDFT,Window-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,8.209998486563563e-05,29.93231039994862,29.932412999973167
Sweep_AmplitudeStep_100pct,100.0,LKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.9100046958774328e-05,34.28491970000323,34.284978199983016
Sweep_AmplitudeStep_100pct,100.0,LKF2,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,4.279997665435076e-05,35.460737300047185,35.46080309996614
Sweep_AmplitudeStep_100pct,100.0,PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,6.749999010935426e-05,26.432070499984547,26.43217210000148
Sweep_AmplitudeStep_100pct,100.0,RA-EKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.989999484270811e-05,40.90581759996712,40.90587560000131
Sweep_AmplitudeStep_100pct,100.0,RLS,Adaptive,fast,30,300,8,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,1.8300001102034003e-05,33.262717900004645,33.26275429999805
Sweep_AmplitudeStep_100pct,100.0,SOGI-FLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.5399960577487946e-05,27.66323199996259,27.663280199980363
Sweep_AmplitudeStep_100pct,100.0,SOGI-PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.500001573935151e-05,29.360814000014216,29.360863400041126
Sweep_AmplitudeStep_100pct,100.0,TFT,Window-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,3.250001464039087e-05,44.415519700036384,44.41557480004849
Sweep_AmplitudeStep_100pct,100.0,TKEO,Adaptive,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.3300002794712782e-05,30.438386299996637,30.438432599999942
Sweep_AmplitudeStep_100pct,100.0,Type-3 SOGI-PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,1.780001912266016e-05,28.834331199992448,28.834371800010558
Sweep_AmplitudeStep_100pct,100.0,UKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,3.2299954909831285e-05,39.122471900016535,39.12253029999556
Sweep_AmplitudeStep_100pct,100.0,ZCD,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.0001604999997653067,12.608303099987097,12.608696900017094
Sweep_AmplitudeStep_10pct,10.0,EKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.069998299703002e-05,21.915820000052918,21.91586039995309
